chrBase	chr	base	strand	coverage	freqC	freqT
chr1.6543	chr1	6543	F	10	0.00	100.00
chr1.6544	chr1	6544	F	10	10.00	90.00
chr1.6559	chr1	6559	F	10	0.00	100.00
chr1.6560	chr1	6560	F	10	0.00	100.00
chr1.6844	chr1	6844	F	11	0.00	100.00
chr1.6853	chr1	6853	F	11	0.00	100.00
chr1.6856	chr1	6856	F	12	0.00	100.00
chr1.6860	chr1	6860	F	11	0.00	100.00
chr1.6861	chr1	6861	F	11	0.00	100.00
chr1.6863	chr1	6863	F	11	0.00	100.00
chr1.6864	chr1	6864	F	11	0.00	100.00
chr1.6867	chr1	6867	F	12	0.00	100.00
chr1.6869	chr1	6869	F	12	0.00	100.00
chr1.6880	chr1	6880	F	12	0.00	100.00
chr1.6881	chr1	6881	F	12	0.00	100.00
chr1.6893	chr1	6893	F	14	0.00	100.00
chr1.6894	chr1	6894	F	14	0.00	100.00
chr1.6899	chr1	6899	F	15	0.00	100.00
chr1.6911	chr1	6911	F	15	0.00	100.00
chr1.6925	chr1	6925	F	13	0.00	100.00
chr1.6983	chr1	6983	F	12	0.00	100.00
chr1.6995	chr1	6995	F	12	0.00	100.00
chr1.6998	chr1	6998	F	12	0.00	100.00
chr1.7011	chr1	7011	F	12	0.00	100.00
chr1.7023	chr1	7023	F	10	0.00	100.00
chr1.7450	chr1	7450	F	10	0.00	100.00
chr1.7451	chr1	7451	F	10	10.00	90.00
chr1.7453	chr1	7453	F	10	0.00	100.00
chr1.7454	chr1	7454	F	10	0.00	100.00
chr1.7476	chr1	7476	F	10	0.00	100.00
chr1.7487	chr1	7487	F	10	0.00	100.00
chr1.7488	chr1	7488	F	10	0.00	100.00
chr1.7494	chr1	7494	F	10	0.00	100.00
chr1.7495	chr1	7495	F	10	0.00	100.00
chr1.7507	chr1	7507	F	10	0.00	100.00
chr1.7508	chr1	7508	F	10	0.00	100.00
chr1.8270	chr1	8270	F	10	0.00	100.00
chr1.8279	chr1	8279	F	10	0.00	100.00
chr1.8281	chr1	8281	F	11	0.00	100.00
chr1.8282	chr1	8282	F	11	9.09	90.91
chr1.8288	chr1	8288	F	11	0.00	100.00
chr1.8289	chr1	8289	F	11	0.00	100.00
chr1.8295	chr1	8295	F	10	0.00	100.00
chr1.8303	chr1	8303	F	10	0.00	100.00
chr1.8389	chr1	8389	F	10	0.00	100.00
chr1.8392	chr1	8392	F	11	0.00	100.00
chr1.8398	chr1	8398	F	11	0.00	100.00
chr1.8402	chr1	8402	F	11	0.00	100.00
chr1.8409	chr1	8409	F	12	0.00	100.00
chr1.8419	chr1	8419	F	11	0.00	100.00
chr1.8451	chr1	8451	F	10	0.00	100.00
chr1.8454	chr1	8454	F	10	0.00	100.00
chr1.8455	chr1	8455	F	10	0.00	100.00
chr1.8456	chr1	8456	F	10	0.00	100.00
chr1.10055	chr1	10055	R	10	0.00	100.00
chr1.10063	chr1	10063	R	12	0.00	100.00
chr1.10064	chr1	10064	R	12	0.00	100.00
chr1.10065	chr1	10065	R	12	8.33	91.67
chr1.10093	chr1	10093	R	11	0.00	100.00
chr1.10107	chr1	10107	R	11	0.00	100.00
chr1.10122	chr1	10122	R	11	9.09	90.91
chr1.10129	chr1	10129	R	11	0.00	100.00
chr1.10130	chr1	10130	R	12	0.00	100.00
chr1.10133	chr1	10133	R	11	0.00	100.00
chr1.10135	chr1	10135	R	10	0.00	100.00
chr1.10203	chr1	10203	R	10	0.00	100.00
chr1.10204	chr1	10204	R	10	0.00	100.00
chr1.10205	chr1	10205	R	10	0.00	100.00
chr1.10206	chr1	10206	R	10	0.00	100.00
chr1.10208	chr1	10208	R	10	0.00	100.00
chr1.10209	chr1	10209	R	10	0.00	100.00
chr1.10210	chr1	10210	R	10	0.00	100.00
chr1.10243	chr1	10243	R	10	0.00	100.00
chr1.10244	chr1	10244	R	10	0.00	100.00
chr1.10251	chr1	10251	R	10	0.00	100.00
chr1.10545	chr1	10545	R	11	0.00	100.00
chr1.10546	chr1	10546	R	11	0.00	100.00
chr1.10563	chr1	10563	R	13	0.00	100.00
chr1.10565	chr1	10565	R	13	0.00	100.00
chr1.10566	chr1	10566	R	13	0.00	100.00
chr1.10568	chr1	10568	R	14	21.43	78.57
chr1.10575	chr1	10575	R	13	0.00	100.00
chr1.10583	chr1	10583	R	14	0.00	100.00
chr1.10590	chr1	10590	R	15	0.00	100.00
chr1.10592	chr1	10592	R	17	5.88	94.12
chr1.10596	chr1	10596	R	17	0.00	100.00
chr1.10597	chr1	10597	R	17	0.00	100.00
chr1.10599	chr1	10599	R	17	17.65	82.35
chr1.10604	chr1	10604	R	16	0.00	100.00
chr1.10605	chr1	10605	R	16	0.00	100.00
chr1.10620	chr1	10620	R	12	0.00	100.00
chr1.10643	chr1	10643	R	13	7.69	92.31
chr1.10658	chr1	10658	R	11	0.00	100.00
chr1.10685	chr1	10685	R	12	0.00	100.00
chr1.10686	chr1	10686	R	13	0.00	100.00
chr1.10687	chr1	10687	R	12	0.00	100.00
chr1.10691	chr1	10691	R	11	0.00	100.00
chr1.10692	chr1	10692	R	10	0.00	100.00
chr1.10693	chr1	10693	R	10	0.00	100.00
chr1.6380	chr1	6380	R	10	0.00	100.00
chr1.6381	chr1	6381	R	10	0.00	100.00
chr1.6407	chr1	6407	R	10	0.00	100.00
chr1.6409	chr1	6409	R	10	0.00	100.00
chr1.6761	chr1	6761	R	11	0.00	100.00
chr1.6765	chr1	6765	R	11	0.00	100.00
chr1.6767	chr1	6767	R	11	0.00	100.00
chr1.6769	chr1	6769	R	11	9.09	90.91
chr1.6771	chr1	6771	R	12	0.00	100.00
chr1.6776	chr1	6776	R	12	0.00	100.00
chr1.6780	chr1	6780	R	12	0.00	100.00
chr1.6781	chr1	6781	R	12	0.00	100.00
chr1.6783	chr1	6783	R	12	0.00	100.00
chr1.6784	chr1	6784	R	12	0.00	100.00
chr1.6787	chr1	6787	R	12	0.00	100.00
chr1.6791	chr1	6791	R	12	0.00	100.00
chr1.6792	chr1	6792	R	12	0.00	100.00
chr1.6794	chr1	6794	R	12	0.00	100.00
chr1.6906	chr1	6906	R	10	0.00	100.00
chr1.6908	chr1	6908	R	10	0.00	100.00
chr1.6915	chr1	6915	R	12	0.00	100.00
chr1.6916	chr1	6916	R	12	0.00	100.00
chr1.6921	chr1	6921	R	12	0.00	100.00
chr1.6923	chr1	6923	R	12	0.00	100.00
chr1.6924	chr1	6924	R	12	0.00	100.00
chr1.6933	chr1	6933	R	15	0.00	100.00
chr1.6958	chr1	6958	R	14	0.00	100.00
chr1.6959	chr1	6959	R	13	0.00	100.00
chr1.6961	chr1	6961	R	13	0.00	100.00
chr1.6965	chr1	6965	R	14	0.00	100.00
chr1.6970	chr1	6970	R	14	0.00	100.00
chr1.6976	chr1	6976	R	11	0.00	100.00
chr1.6982	chr1	6982	R	11	0.00	100.00
chr1.6986	chr1	6986	R	10	0.00	100.00
chr1.7002	chr1	7002	R	11	0.00	100.00
chr1.7003	chr1	7003	R	12	0.00	100.00
chr1.7006	chr1	7006	R	11	0.00	100.00
chr1.7008	chr1	7008	R	11	9.09	90.91
chr1.7010	chr1	7010	R	12	0.00	100.00
chr1.7014	chr1	7014	R	10	0.00	100.00
chr1.7016	chr1	7016	R	10	0.00	100.00
chr1.7017	chr1	7017	R	10	0.00	100.00
chr1.7018	chr1	7018	R	10	0.00	100.00
chr1.7089	chr1	7089	R	14	0.00	100.00
chr1.7090	chr1	7090	R	14	0.00	100.00
chr1.7091	chr1	7091	R	14	0.00	100.00
chr1.7101	chr1	7101	R	16	0.00	100.00
chr1.7108	chr1	7108	R	18	0.00	100.00
chr1.7112	chr1	7112	R	19	0.00	100.00
chr1.7123	chr1	7123	R	18	0.00	100.00
chr1.7127	chr1	7127	R	18	0.00	100.00
chr1.7132	chr1	7132	R	18	0.00	100.00
chr1.7145	chr1	7145	R	17	0.00	100.00
chr1.7153	chr1	7153	R	17	0.00	100.00
chr1.7156	chr1	7156	R	17	0.00	100.00
chr1.7164	chr1	7164	R	16	0.00	100.00
chr1.7180	chr1	7180	R	14	0.00	100.00
chr1.7186	chr1	7186	R	14	0.00	100.00
chr1.7188	chr1	7188	R	14	7.14	92.86
chr1.7190	chr1	7190	R	14	0.00	100.00
chr1.7199	chr1	7199	R	13	0.00	100.00
chr1.7200	chr1	7200	R	13	0.00	100.00
chr1.7209	chr1	7209	R	12	0.00	100.00
chr1.7210	chr1	7210	R	12	0.00	100.00
chr1.7211	chr1	7211	R	13	0.00	100.00
chr1.7216	chr1	7216	R	13	0.00	100.00
chr1.7220	chr1	7220	R	12	0.00	100.00
chr1.7232	chr1	7232	R	13	0.00	100.00
chr1.7234	chr1	7234	R	13	0.00	100.00
chr1.7235	chr1	7235	R	14	0.00	100.00
chr1.7239	chr1	7239	R	13	0.00	100.00
chr1.7242	chr1	7242	R	13	7.69	92.31
chr1.7244	chr1	7244	R	13	0.00	100.00
chr1.7245	chr1	7245	R	13	0.00	100.00
chr1.7267	chr1	7267	R	11	0.00	100.00
chr1.7391	chr1	7391	R	14	0.00	100.00
chr1.7393	chr1	7393	R	15	0.00	100.00
chr1.7395	chr1	7395	R	16	6.25	93.75
chr1.7397	chr1	7397	R	16	0.00	100.00
chr1.7400	chr1	7400	R	16	0.00	100.00
chr1.7417	chr1	7417	R	19	0.00	100.00
chr1.7434	chr1	7434	R	18	0.00	100.00
chr1.7445	chr1	7445	R	17	0.00	100.00
chr1.7458	chr1	7458	R	18	0.00	100.00
chr1.7470	chr1	7470	R	17	0.00	100.00
chr1.7472	chr1	7472	R	16	0.00	100.00
chr1.7480	chr1	7480	R	14	0.00	100.00
chr1.7499	chr1	7499	R	16	0.00	100.00
chr1.7501	chr1	7501	R	16	0.00	100.00
chr1.7502	chr1	7502	R	16	0.00	100.00
chr1.7503	chr1	7503	R	15	0.00	100.00
chr1.7506	chr1	7506	R	14	0.00	100.00
chr1.7517	chr1	7517	R	13	0.00	100.00
chr1.7521	chr1	7521	R	13	0.00	100.00
chr1.7559	chr1	7559	R	14	0.00	100.00
chr1.7565	chr1	7565	R	15	0.00	100.00
chr1.7576	chr1	7576	R	16	0.00	100.00
chr1.7582	chr1	7582	R	15	0.00	100.00
chr1.7584	chr1	7584	R	14	0.00	100.00
chr1.7586	chr1	7586	R	14	0.00	100.00
chr1.7595	chr1	7595	R	14	0.00	100.00
chr1.7604	chr1	7604	R	13	0.00	100.00
chr1.7605	chr1	7605	R	13	0.00	100.00
chr1.7606	chr1	7606	R	13	0.00	100.00
chr1.7620	chr1	7620	R	13	0.00	100.00
chr1.7622	chr1	7622	R	13	0.00	100.00
chr1.7625	chr1	7625	R	12	0.00	100.00
chr1.7640	chr1	7640	R	13	0.00	100.00
chr1.7647	chr1	7647	R	12	0.00	100.00
chr1.7827	chr1	7827	R	10	0.00	100.00
chr1.7856	chr1	7856	R	12	0.00	100.00
chr1.7857	chr1	7857	R	12	0.00	100.00
chr1.7864	chr1	7864	R	11	0.00	100.00
chr1.7866	chr1	7866	R	11	0.00	100.00
chr1.7875	chr1	7875	R	11	0.00	100.00
chr1.7881	chr1	7881	R	10	10.00	90.00
chr1.8242	chr1	8242	R	10	0.00	100.00
chr1.8244	chr1	8244	R	11	0.00	100.00
chr1.8250	chr1	8250	R	10	0.00	100.00
chr1.8251	chr1	8251	R	10	0.00	100.00
chr1.8255	chr1	8255	R	10	20.00	80.00
chr1.8258	chr1	8258	R	10	0.00	100.00
chr1.8260	chr1	8260	R	10	0.00	100.00
chr1.8263	chr1	8263	R	10	0.00	100.00
chr1.8268	chr1	8268	R	11	0.00	100.00
chr1.8269	chr1	8269	R	11	0.00	100.00
chr1.8277	chr1	8277	R	10	0.00	100.00
chr1.8285	chr1	8285	R	10	0.00	100.00
chr1.8292	chr1	8292	R	11	0.00	100.00
chr1.8294	chr1	8294	R	10	0.00	100.00
chr1.8298	chr1	8298	R	11	0.00	100.00
chr1.8300	chr1	8300	R	12	8.33	91.67
chr1.8312	chr1	8312	R	12	0.00	100.00
chr1.8316	chr1	8316	R	14	0.00	100.00
chr1.8323	chr1	8323	R	14	0.00	100.00
chr1.8331	chr1	8331	R	13	0.00	100.00
chr1.8342	chr1	8342	R	11	0.00	100.00
chr1.8343	chr1	8343	R	10	0.00	100.00
chr1.8348	chr1	8348	R	10	0.00	100.00
chr1.8489	chr1	8489	R	10	0.00	100.00
chr1.8561	chr1	8561	R	10	0.00	100.00
chr1.8632	chr1	8632	R	10	0.00	100.00
chr1.8837	chr1	8837	R	11	0.00	100.00
chr1.8842	chr1	8842	R	11	0.00	100.00
chr1.8843	chr1	8843	R	10	0.00	100.00
chr1.8844	chr1	8844	R	11	0.00	100.00
chr1.8850	chr1	8850	R	11	0.00	100.00
chr1.8853	chr1	8853	R	12	0.00	100.00
chr1.8860	chr1	8860	R	11	0.00	100.00
chr1.8862	chr1	8862	R	10	10.00	90.00
chr1.8870	chr1	8870	R	10	0.00	100.00
chr1.8872	chr1	8872	R	10	0.00	100.00
chr1.9026	chr1	9026	R	10	0.00	100.00
chr1.9027	chr1	9027	R	10	10.00	90.00
chr1.9910	chr1	9910	R	11	0.00	100.00
chr1.9918	chr1	9918	R	11	9.09	90.91
chr1.9929	chr1	9929	R	11	0.00	100.00
chr1.9934	chr1	9934	R	11	0.00	100.00
chr1.9935	chr1	9935	R	11	0.00	100.00
chr1.9936	chr1	9936	R	11	0.00	100.00
chr1.9937	chr1	9937	R	11	0.00	100.00
chr1.9946	chr1	9946	R	11	9.09	90.91
chr1.9949	chr1	9949	R	11	0.00	100.00
chr1.9957	chr1	9957	R	12	0.00	100.00
chr1.9958	chr1	9958	R	12	0.00	100.00
chr1.9967	chr1	9967	R	11	0.00	100.00
chr1.9968	chr1	9968	R	11	0.00	100.00
chr1.9983	chr1	9983	R	11	9.09	90.91
chr1.9985	chr1	9985	R	11	18.18	81.82
chr1.9988	chr1	9988	R	10	0.00	100.00
chr1.9989	chr1	9989	R	11	0.00	100.00
chr1.9992	chr1	9992	R	10	0.00	100.00
chr1.9996	chr1	9996	R	10	10.00	90.00
