chrBase	chr	base	strand	coverage	freqC	freqT
chr1.10550	chr1	10550	R	12	0.00	100.00
chr1.10573	chr1	10573	R	15	0.00	100.00
chr1.10581	chr1	10581	R	14	0.00	100.00
chr1.10595	chr1	10595	R	17	11.76	88.24
chr1.10618	chr1	10618	R	13	0.00	100.00
chr1.10646	chr1	10646	R	15	0.00	100.00
chr1.10673	chr1	10673	R	11	0.00	100.00
chr1.10683	chr1	10683	R	14	0.00	100.00
chr1.10690	chr1	10690	R	12	8.33	91.67
chr1.6379	chr1	6379	R	10	0.00	100.00
chr1.6395	chr1	6395	R	10	0.00	100.00
chr1.6406	chr1	6406	R	10	0.00	100.00
chr1.6764	chr1	6764	R	11	0.00	100.00
chr1.6779	chr1	6779	R	12	0.00	100.00
chr1.6790	chr1	6790	R	12	0.00	100.00
chr1.6807	chr1	6807	R	10	0.00	100.00
chr1.6920	chr1	6920	R	12	0.00	100.00
chr1.6928	chr1	6928	R	14	0.00	100.00
chr1.6973	chr1	6973	R	12	0.00	100.00
chr1.6981	chr1	6981	R	11	0.00	100.00
chr1.6991	chr1	6991	R	11	0.00	100.00
chr1.6994	chr1	6994	R	11	0.00	100.00
chr1.7001	chr1	7001	R	11	0.00	100.00
chr1.7126	chr1	7126	R	19	0.00	100.00
chr1.7130	chr1	7130	R	19	0.00	100.00
chr1.7143	chr1	7143	R	17	0.00	100.00
chr1.7172	chr1	7172	R	15	0.00	100.00
chr1.7178	chr1	7178	R	15	0.00	100.00
chr1.7197	chr1	7197	R	14	7.14	92.86
chr1.7230	chr1	7230	R	13	0.00	100.00
chr1.7238	chr1	7238	R	14	0.00	100.00
chr1.7276	chr1	7276	R	11	0.00	100.00
chr1.7293	chr1	7293	R	10	0.00	100.00
chr1.7390	chr1	7390	R	13	0.00	100.00
chr1.7405	chr1	7405	R	15	0.00	100.00
chr1.7411	chr1	7411	R	16	6.25	93.75
chr1.7416	chr1	7416	R	18	0.00	100.00
chr1.7429	chr1	7429	R	19	0.00	100.00
chr1.7441	chr1	7441	R	17	0.00	100.00
chr1.7475	chr1	7475	R	14	0.00	100.00
chr1.7491	chr1	7491	R	17	0.00	100.00
chr1.7529	chr1	7529	R	14	0.00	100.00
chr1.7539	chr1	7539	R	13	0.00	100.00
chr1.7548	chr1	7548	R	14	0.00	100.00
chr1.7557	chr1	7557	R	15	0.00	100.00
chr1.7611	chr1	7611	R	13	7.69	92.31
chr1.7632	chr1	7632	R	12	0.00	100.00
chr1.7852	chr1	7852	R	11	0.00	100.00
chr1.7855	chr1	7855	R	12	0.00	100.00
chr1.7863	chr1	7863	R	12	0.00	100.00
chr1.7873	chr1	7873	R	11	0.00	100.00
chr1.7880	chr1	7880	R	11	0.00	100.00
chr1.8266	chr1	8266	R	10	0.00	100.00
chr1.8274	chr1	8274	R	10	0.00	100.00
chr1.8307	chr1	8307	R	12	0.00	100.00
chr1.8341	chr1	8341	R	11	0.00	100.00
chr1.8363	chr1	8363	R	10	0.00	100.00
chr1.8500	chr1	8500	R	10	0.00	100.00
chr1.8628	chr1	8628	R	10	0.00	100.00
chr1.8840	chr1	8840	R	11	0.00	100.00
chr1.8859	chr1	8859	R	11	0.00	100.00
chr1.9011	chr1	9011	R	10	0.00	100.00
chr1.9016	chr1	9016	R	10	0.00	100.00
chr1.9903	chr1	9903	R	11	0.00	100.00
chr1.9909	chr1	9909	R	11	0.00	100.00
chr1.9913	chr1	9913	R	11	0.00	100.00
chr1.9928	chr1	9928	R	12	0.00	100.00
chr1.9956	chr1	9956	R	12	0.00	100.00
chr1.9974	chr1	9974	R	11	0.00	100.00
chr1.9982	chr1	9982	R	11	0.00	100.00
chr1.9995	chr1	9995	R	10	20.00	80.00
